CONTROL,PER,REGION,METRO3,VALUE,ZINC2,ROOMS,ZADEQ,UTILITY,FMTZADEQ
'734778500142',2,'4','2',2465647,785402,9,'1',1009.166667,1 Adequate
'730204310145',4,'2','1',740000,742441,10,'1',381,1 Adequate
'295273830133',4,'1','2',450000,725402,9,'1',710.1666667,1 Adequate
'301895590141',3,'2','2',665000,695402,9,'1',471.4166667,1 Adequate
'466383110144',5,'4','2',1200000,691480,8,'1',478.6666667,1 Adequate
'102880330147',2,'1','2',300000,682328,5,'1',128,1 Adequate
'184910710146',4,'4','1',650000,677928,7,'1',473.3333333,1 Adequate
'254579530145',4,'4','1',800000,675928,8,'1',267.6666667,1 Adequate
'488791550146',4,'1','2',2465647,675928,11,2,241,2 Moderately Inadequ
'666778590145',3,'4','1',700000,675928,4,2,76,2 Moderately Inadequ
'199415830148',2,'3','3',800000,675928,6,'1',345,1 Adequate
'400142230103',4,'3','1',370000,675928,7,'1',501.1666667,1 Adequate
'741319900146',4,'3','3',450000,675928,11,'1',512,1 Adequate
'689502530133',4,'2','2',350000,661402,10,'1',341,1 Adequate
'730357960141',5,'2','2',650000,645402,11,'1',561.6666667,1 Adequate
'100607530103',3,'3','4',530000,640402,8,'1',308.6666667,1 Adequate
'600293720140',2,'2','3',350000,633402,6,'1',285.9166667,1 Adequate
'100933170143',2,'3','1',350000,630402,7,'1',336,1 Adequate
'730359350140',2,'1','3',350000,626402,8,'1',271.1666667,1 Adequate
'486963110146',2,'4','2',2465647,620402,9,'1',254.6666667,1 Adequate
'731558850148',6,'3','2',425000,619902,11,'1',1119.166667,1 Adequate
'600918230103',4,'3','4',600000,618402,9,'1',572.5,1 Adequate
'100028230103',4,'3','2',300000,616412,9,'1',356.0833333,1 Adequate
'182583830133',4,'1','2',650000,616402,9,'1',478.5,1 Adequate
'600206330133',3,'1','3',2465647,613402,10,'1',653,1 Adequate
'500273730133',2,'1','2',2465647,607402,8,'1',647,1 Adequate
'731150720148',4,'2','2',900000,600902,9,'1',450.3333333,1 Adequate
'730858330148',2,'3','3',325000,597902,8,'1',468,1 Adequate
'100791230133',4,'1','2',570000,595402,8,'1',510.3333333,1 Adequate
'189103150149',2,'2','2',2465647,595402,9,'1',477,1 Adequate
'200200360245',4,'2','2',350000,595402,10,'1',629,1 Adequate
'600605130103',4,'3','1',750000,595402,8,'1',213,1 Adequate
'500934330103',1,'3','2',475000,595402,10,'1',252.1666667,1 Adequate
'499114820246',4,'1','3',525000,595402,10,'1',461.6666667,1 Adequate
'601125980142',5,'2','3',800000,595402,13,'1',519.3333333,1 Adequate
'601261510146',3,'4','2',2465647,595402,9,'1',840.5,1 Adequate
'604258330147',1,'1','3',625000,595402,8,'1',452,1 Adequate
'685238730149',2,'1','2',400000,595402,6,'1',288.8333333,1 Adequate
'730228060143',3,'1','3',525000,595402,7,'1',582.1666667,1 Adequate
'730875150145',2,'2','3',1400000,595402,12,'1',711,1 Adequate
'733086630147',5,'3','2',750000,595402,13,'1',414.9166667,1 Adequate
'301530180145',4,'3','3',435000,595402,8,'1',517,1 Adequate
'733589080147',4,'2','2',900000,595402,12,'1',259.6666667,1 Adequate
'177482550140',3,'3','3',400000,595402,7,'1',685.8333333,1 Adequate
'743548170148',3,'4','1',85000,595402,6,'1',333,1 Adequate
'600391720148',6,'1','3',800000,585086,8,'1',742.6666667,1 Adequate
